index, path, x, y, id,Shape,Color, parent, child, type, size
9,0,8.936,-174.772,Sport to Black belts are masters,Shape, Sport, Sport, Black belts are masters, link, 
9,1,13.403125,-262.157875,Sport to Black belts are masters,Shape, Sport, Sport, Black belts are masters, link, 
9,2,17.871,-349.543,Sport to Black belts are masters,Shape, Sport, Sport, Black belts are masters, link, 
10,0,35.51,-171.359,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,1,38.49024097,-186.488752,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,2,42.61159985,-211.8723418,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,3,44.84230835,-232.3893223,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,4,45.85618286,-250.0012246,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,5,46.5694043,-275.2629063,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,6,48.33496655,-305.0217754,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,7,51.21966919,-330.6286777,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
10,8,53.427,-345.898,"Language to Thomas Crapper invented ""crap""",Shape, Language, Language," Thomas Crapper invented ""crap""", link, 
11,0,35.51,-171.359,Language to Elementary My Dear Watson,Shape, Language, Language, Elementary My Dear Watson, link, 
11,1,53.264125,-257.039,Language to Elementary My Dear Watson,Shape, Language, Language, Elementary My Dear Watson, link, 
11,2,71.019,-342.719,Language to Elementary My Dear Watson,Shape, Language, Language, Elementary My Dear Watson, link, 
12,0,35.51,-171.359,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
12,1,38.78717676,-186.4272158,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
12,2,45.09175684,-211.3583662,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
12,3,51.19756348,-231.0723057,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
12,4,57.26570605,-247.6368311,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
12,5,66.64972656,-271.1017734,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
12,6,76.85524316,-299.1118916,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
12,7,84.38382324,-323.7567295,Language to Rule of thumb,Shape, Language, Language, Rule of thumb, link, 
